,urls
224,https://www.wildberries.ru/catalog/48841169/detail.aspx
225,https://www.wildberries.ru/catalog/25653149/detail.aspx
226,https://www.wildberries.ru/catalog/94338867/detail.aspx
227,https://www.wildberries.ru/catalog/50228591/detail.aspx
228,https://www.wildberries.ru/catalog/15501908/detail.aspx
229,https://www.wildberries.ru/catalog/24705857/detail.aspx
230,https://www.wildberries.ru/catalog/92352125/detail.aspx
231,https://www.wildberries.ru/catalog/11844159/detail.aspx
232,https://www.wildberries.ru/catalog/46024027/detail.aspx
233,https://www.wildberries.ru/catalog/66102362/detail.aspx
234,https://www.wildberries.ru/catalog/38299481/detail.aspx
235,https://www.wildberries.ru/catalog/37940375/detail.aspx
236,https://www.wildberries.ru/catalog/76874270/detail.aspx
237,https://www.wildberries.ru/catalog/11775979/detail.aspx
238,https://www.wildberries.ru/catalog/71645625/detail.aspx
239,https://www.wildberries.ru/catalog/15894153/detail.aspx
240,https://www.wildberries.ru/catalog/18397357/detail.aspx
241,https://www.wildberries.ru/catalog/45019501/detail.aspx
242,https://www.wildberries.ru/catalog/2889127/detail.aspx
243,https://www.wildberries.ru/catalog/34846205/detail.aspx
244,https://www.wildberries.ru/catalog/35419686/detail.aspx
245,https://www.wildberries.ru/catalog/21301735/detail.aspx
246,https://www.wildberries.ru/catalog/33225512/detail.aspx
247,https://www.wildberries.ru/catalog/34269342/detail.aspx
248,https://www.wildberries.ru/catalog/30388540/detail.aspx
249,https://www.wildberries.ru/catalog/19349994/detail.aspx
250,https://www.wildberries.ru/catalog/7223753/detail.aspx
251,https://www.wildberries.ru/catalog/28764493/detail.aspx
252,https://www.wildberries.ru/catalog/6468992/detail.aspx
253,https://www.wildberries.ru/catalog/12809224/detail.aspx
254,https://www.wildberries.ru/catalog/18968144/detail.aspx
255,https://www.wildberries.ru/catalog/43376901/detail.aspx
256,https://www.wildberries.ru/catalog/16844709/detail.aspx
257,https://www.wildberries.ru/catalog/12846650/detail.aspx
258,https://www.wildberries.ru/catalog/38743129/detail.aspx
259,https://www.wildberries.ru/catalog/13404043/detail.aspx
260,https://www.wildberries.ru/catalog/34254826/detail.aspx
261,https://www.wildberries.ru/catalog/6467872/detail.aspx
262,https://www.wildberries.ru/catalog/46111644/detail.aspx
263,https://www.wildberries.ru/catalog/43390447/detail.aspx
264,https://www.wildberries.ru/catalog/32731427/detail.aspx
265,https://www.wildberries.ru/catalog/41913685/detail.aspx
266,https://www.wildberries.ru/catalog/13074632/detail.aspx
267,https://www.wildberries.ru/catalog/14932868/detail.aspx
268,https://www.wildberries.ru/catalog/8136828/detail.aspx
269,https://www.wildberries.ru/catalog/28969714/detail.aspx
270,https://www.wildberries.ru/catalog/87265249/detail.aspx
271,https://www.wildberries.ru/catalog/18708276/detail.aspx
272,https://www.wildberries.ru/catalog/74205941/detail.aspx
273,https://www.wildberries.ru/catalog/14328257/detail.aspx
274,https://www.wildberries.ru/catalog/44663064/detail.aspx
275,https://www.wildberries.ru/catalog/30925326/detail.aspx
276,https://www.wildberries.ru/catalog/57868505/detail.aspx
277,https://www.wildberries.ru/catalog/28976379/detail.aspx
278,https://www.wildberries.ru/catalog/7004594/detail.aspx
279,https://www.wildberries.ru/catalog/11510798/detail.aspx
280,https://www.wildberries.ru/catalog/13111716/detail.aspx
281,https://www.wildberries.ru/catalog/17248905/detail.aspx
282,https://www.wildberries.ru/catalog/15266842/detail.aspx
283,https://www.wildberries.ru/catalog/40556411/detail.aspx
284,https://www.wildberries.ru/catalog/37976052/detail.aspx
285,https://www.wildberries.ru/catalog/9962693/detail.aspx
286,https://www.wildberries.ru/catalog/26477416/detail.aspx
287,https://www.wildberries.ru/catalog/71645626/detail.aspx
288,https://www.wildberries.ru/catalog/13558070/detail.aspx
289,https://www.wildberries.ru/catalog/17444574/detail.aspx
290,https://www.wildberries.ru/catalog/28951035/detail.aspx
291,https://www.wildberries.ru/catalog/11419748/detail.aspx
292,https://www.wildberries.ru/catalog/14328256/detail.aspx
293,https://www.wildberries.ru/catalog/18920897/detail.aspx
294,https://www.wildberries.ru/catalog/41458861/detail.aspx
